quote,author,tags,tags_str,combined
"It's strange because sometimes, I read a book, and I think I am the people in the book.",Stephen Chbosky,[],none,"Quote: ""It's strange because sometimes, I read a book, and I think I am the people in the book."" by Stephen Chbosky. Tags: none"
"My dear,Find what you love and let it kill you.Let it drain you of your all. Let it cling onto your back and weigh you down into eventual nothingness.Let it kill you and let it devour your remains.For all things will kill you, both slowly and fastly, but itâ€™s much better to be killed by a lover.~ Falsely yours",Kinky Friedman,[],none,"Quote: ""My dear,Find what you love and let it kill you.Let it drain you of your all. Let it cling onto your back and weigh you down into eventual nothingness.Let it kill you and let it devour your remains.For all things will kill you, both slowly and fastly, but itâ€™s much better to be killed by a lover.~ Falsely yours"" by Kinky Friedman. Tags: none"
"Happiness is having a large, loving, caring, close-knit family in another city.",George Burns,[],none,"Quote: ""Happiness is having a large, loving, caring, close-knit family in another city."" by George Burns. Tags: none"
"Don't order any of the faerie food,"" said Jace, looking at her over the top of his menu. ""It tends to make humans a little crazy. One minute you're munching a faerie plum, the next minute you're running naked down Madison Avenue with antlers on your head. Not,"" he added hastily, ""that this has ever happened to me.",Cassandra Clare,[],none,"Quote: ""Don't order any of the faerie food,"" said Jace, looking at her over the top of his menu. ""It tends to make humans a little crazy. One minute you're munching a faerie plum, the next minute you're running naked down Madison Avenue with antlers on your head. Not,"" he added hastily, ""that this has ever happened to me."" by Cassandra Clare. Tags: none"
"More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate.",Roy T. Bennett,[],none,"Quote: ""More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate."" by Roy T. Bennett. Tags: none"
Nobody can hurt me without my permission.,Mahatma Gandhi,[],none,"Quote: ""Nobody can hurt me without my permission."" by Mahatma Gandhi. Tags: none"
Don't judge each day by the harvest you reap but by the seeds that you plant.,Robert Louis Stevenson,[],none,"Quote: ""Don't judge each day by the harvest you reap but by the seeds that you plant."" by Robert Louis Stevenson. Tags: none"
"Fire is catching! And if we burn, you burn with us!",Suzanne Collins,[],none,"Quote: ""Fire is catching! And if we burn, you burn with us!"" by Suzanne Collins. Tags: none"
"But I know, somehow, that only when it is dark enough can you see the stars.","Martin Luther King, Jr.",[],none,"Quote: ""But I know, somehow, that only when it is dark enough can you see the stars."" by Martin Luther King, Jr.. Tags: none"
"You are the answer to every prayer I've offered. You are a song, a dream, a whisper, and I don't know how I could have lived without you for as long as I have.",Nicholas Sparks,[],none,"Quote: ""You are the answer to every prayer I've offered. You are a song, a dream, a whisper, and I don't know how I could have lived without you for as long as I have."" by Nicholas Sparks. Tags: none"
I was never really insane except upon occasions when my heart was touched.,Edgar Allan Poe,[],none,"Quote: ""I was never really insane except upon occasions when my heart was touched."" by Edgar Allan Poe. Tags: none"
"Sometimes crying or laughing are the only options left, and laughing feels better right now.",Veronica Roth,[],none,"Quote: ""Sometimes crying or laughing are the only options left, and laughing feels better right now."" by Veronica Roth. Tags: none"
What you seek is seeking you.,Mawlana Jalal-al-Din Rumi,[],none,"Quote: ""What you seek is seeking you."" by Mawlana Jalal-al-Din Rumi. Tags: none"
It's not denial. I'm just selective about the reality I accept.,Bill Watterson,[],none,"Quote: ""It's not denial. I'm just selective about the reality I accept."" by Bill Watterson. Tags: none"
The best and most beautiful things in the world cannot be seen or even touched. They must be felt with the heart,Helen Keller,[],none,"Quote: ""The best and most beautiful things in the world cannot be seen or even touched. They must be felt with the heart"" by Helen Keller. Tags: none"
You probably wouldnâ€™t worry about what people think of you if you could know how seldom they do.,Olin Miller,[],none,"Quote: ""You probably wouldnâ€™t worry about what people think of you if you could know how seldom they do."" by Olin Miller. Tags: none"
"I have something I need to tell you,"" he says. I run my fingers along the tendons in his hands and look back at him. ""I might be in love with you."" He smiles a little. ""I'm waiting until I'm sure to tell you, though.""""That's sensible of you,"" I say, smiling too. ""We should find some paper so you can make a list or a chart or something.""I feel his laughter against my side, his nose sliding along my jaw, his lips pressing my ear.""Maybe I'm already sure,"" he says, ""and I just don't want to frighten you.""I laugh a little. ""Then you should know better.""""Fine,"" he says. ""Then I love you.",Veronica Roth,[],none,"Quote: ""I have something I need to tell you,"" he says. I run my fingers along the tendons in his hands and look back at him. ""I might be in love with you."" He smiles a little. ""I'm waiting until I'm sure to tell you, though.""""That's sensible of you,"" I say, smiling too. ""We should find some paper so you can make a list or a chart or something.""I feel his laughter against my side, his nose sliding along my jaw, his lips pressing my ear.""Maybe I'm already sure,"" he says, ""and I just don't want to frighten you.""I laugh a little. ""Then you should know better.""""Fine,"" he says. ""Then I love you."" by Veronica Roth. Tags: none"
Wrinkles should merely indicate where the smiles have been.,Mark Twain,[],none,"Quote: ""Wrinkles should merely indicate where the smiles have been."" by Mark Twain. Tags: none"
"Simplicity, patience, compassion.These three are your greatest treasures.Simple in actions and thoughts, you return to the source of being.Patient with both friends and enemies,you accord with the way things are.Compassionate toward yourself,you reconcile all beings in the world.",Lao Tzu,[],none,"Quote: ""Simplicity, patience, compassion.These three are your greatest treasures.Simple in actions and thoughts, you return to the source of being.Patient with both friends and enemies,you accord with the way things are.Compassionate toward yourself,you reconcile all beings in the world."" by Lao Tzu. Tags: none"
"The so-called â€˜psychotically depressedâ€™ person who tries to kill herself doesnâ€™t do so out of quote â€˜hopelessnessâ€™ or any abstract conviction that lifeâ€™s assets and debits do not square. And surely not because death seems suddenly appealing. The person in whom Its invisible agony reaches a certain unendurable level will kill herself the same way a trapped person will eventually jump from the window of a burning high-rise. Make no mistake about people who leap from burning windows. Their terror of falling from a great height is still just as great as it would be for you or me standing speculatively at the same window just checking out the view; i.e. the fear of falling remains a constant. The variable here is the other terror, the fireâ€™s flames: when the flames get close enough, falling to death becomes the slightly less terrible of two terrors. Itâ€™s not desiring the fall; itâ€™s terror of the flames. And yet nobody down on the sidewalk, looking up and yelling â€˜Donâ€™t!â€™ and â€˜Hang on!â€™, can understand the jump. Not really. Youâ€™d have to have personally been trapped and felt flames to really understand a terror way beyond falling.",David Foster Wallace,[],none,"Quote: ""The so-called â€˜psychotically depressedâ€™ person who tries to kill herself doesnâ€™t do so out of quote â€˜hopelessnessâ€™ or any abstract conviction that lifeâ€™s assets and debits do not square. And surely not because death seems suddenly appealing. The person in whom Its invisible agony reaches a certain unendurable level will kill herself the same way a trapped person will eventually jump from the window of a burning high-rise. Make no mistake about people who leap from burning windows. Their terror of falling from a great height is still just as great as it would be for you or me standing speculatively at the same window just checking out the view; i.e. the fear of falling remains a constant. The variable here is the other terror, the fireâ€™s flames: when the flames get close enough, falling to death becomes the slightly less terrible of two terrors. Itâ€™s not desiring the fall; itâ€™s terror of the flames. And yet nobody down on the sidewalk, looking up and yelling â€˜Donâ€™t!â€™ and â€˜Hang on!â€™, can understand the jump. Not really. Youâ€™d have to have personally been trapped and felt flames to really understand a terror way beyond falling."" by David Foster Wallace. Tags: none"
"If pain must come, may it come quickly. Because I have a life to live, and I need to live it in the best way possible. If he has to make a choice, may he make it now. Then I will either wait for him or forget him.",Paulo Coelho,[],none,"Quote: ""If pain must come, may it come quickly. Because I have a life to live, and I need to live it in the best way possible. If he has to make a choice, may he make it now. Then I will either wait for him or forget him."" by Paulo Coelho. Tags: none"
"Yesterday I was clever, so I wanted to change the world. Today I am wise, so I am changing myself.",Rumi,[],none,"Quote: ""Yesterday I was clever, so I wanted to change the world. Today I am wise, so I am changing myself."" by Rumi. Tags: none"
"Words are, of course, the most powerful drug used by mankind.",Rudyard Kipling,[],none,"Quote: ""Words are, of course, the most powerful drug used by mankind."" by Rudyard Kipling. Tags: none"
The truth does not change according to our ability to stomach it.,Flannery O'Connor,[],none,"Quote: ""The truth does not change according to our ability to stomach it."" by Flannery O'Connor. Tags: none"
The worst part of holding the memories is not the pain. It's the loneliness of it. Memories need to be shared.,Lois Lowry,[],none,"Quote: ""The worst part of holding the memories is not the pain. It's the loneliness of it. Memories need to be shared."" by Lois Lowry. Tags: none"
"The past is a place of reference, not a place of residence; the past is a place of learning, not a place of living.",Roy T. Bennett,[],none,"Quote: ""The past is a place of reference, not a place of residence; the past is a place of learning, not a place of living."" by Roy T. Bennett. Tags: none"
"What I say is, a town isnâ€™t a town without a bookstore. It may call itself a town, but unless itâ€™s got a bookstore, it knows itâ€™s not foolinâ€™ a soul.",Neil Gaiman,[],none,"Quote: ""What I say is, a town isnâ€™t a town without a bookstore. It may call itself a town, but unless itâ€™s got a bookstore, it knows itâ€™s not foolinâ€™ a soul."" by Neil Gaiman. Tags: none"
"Don't JustDon't just learn, experience.Don't just read, absorb.Don't just change, transform.Don't just relate, advocate.Don't just promise, prove.Don't just criticize, encourage.Don't just think, ponder.Don't just take, give.Don't just see, feel.Donâ€™t just dream, do. Don't just hear, listen.Don't just talk, act.Don't just tell, show.Don't just exist, live.",Roy T. Bennett,[],none,"Quote: ""Don't JustDon't just learn, experience.Don't just read, absorb.Don't just change, transform.Don't just relate, advocate.Don't just promise, prove.Don't just criticize, encourage.Don't just think, ponder.Don't just take, give.Don't just see, feel.Donâ€™t just dream, do. Don't just hear, listen.Don't just talk, act.Don't just tell, show.Don't just exist, live."" by Roy T. Bennett. Tags: none"
"Let there be spaces in your togetherness, And let the winds of the heavens dance between you. Love one another but make not a bond of love: Let it rather be a moving sea between the shores of your souls. Fill each other's cup but drink not from one cup. Give one another of your bread but eat not from the same loaf. Sing and dance together and be joyous, but let each one of you be alone, Even as the strings of a lute are alone though they quiver with the same music. Give your hearts, but not into each other's keeping. For only the hand of Life can contain your hearts. And stand together, yet not too near together: For the pillars of the temple stand apart, And the oak tree and the cypress grow not in each other's shadow.",Khalil Gibran,[],none,"Quote: ""Let there be spaces in your togetherness, And let the winds of the heavens dance between you. Love one another but make not a bond of love: Let it rather be a moving sea between the shores of your souls. Fill each other's cup but drink not from one cup. Give one another of your bread but eat not from the same loaf. Sing and dance together and be joyous, but let each one of you be alone, Even as the strings of a lute are alone though they quiver with the same music. Give your hearts, but not into each other's keeping. For only the hand of Life can contain your hearts. And stand together, yet not too near together: For the pillars of the temple stand apart, And the oak tree and the cypress grow not in each other's shadow."" by Khalil Gibran. Tags: none"
Books are the mirrors of the soul.,Virginia Woolf,[],none,"Quote: ""Books are the mirrors of the soul."" by Virginia Woolf. Tags: none"
"I donâ€™t know if youâ€™ve ever felt like that. That you wanted to sleep for a thousand years. Or just not exist. Or just not be aware that you do exist. Or something like that. I think wanting that is very morbid, but I want it when I get like this. Thatâ€™s why Iâ€™m trying not to think. I just want it all to stop spinning.",Stephen Chbosky,[],none,"Quote: ""I donâ€™t know if youâ€™ve ever felt like that. That you wanted to sleep for a thousand years. Or just not exist. Or just not be aware that you do exist. Or something like that. I think wanting that is very morbid, but I want it when I get like this. Thatâ€™s why Iâ€™m trying not to think. I just want it all to stop spinning."" by Stephen Chbosky. Tags: none"
Be careful of love. It'll twist your brain around and leave you thinking up is down and right is wrong.,Rick Riordan,[],none,"Quote: ""Be careful of love. It'll twist your brain around and leave you thinking up is down and right is wrong."" by Rick Riordan. Tags: none"
"If you look for perfection, you'll never be content.",Leo Tolstoy,[],none,"Quote: ""If you look for perfection, you'll never be content."" by Leo Tolstoy. Tags: none"
"I can feel Peeta press his forehead into my temple and he asks, 'So now that you've got me, what are you going to do with me?' I turn into him. 'Put you somewhere you can't get hurt.",Suzanne Collins,[],none,"Quote: ""I can feel Peeta press his forehead into my temple and he asks, 'So now that you've got me, what are you going to do with me?' I turn into him. 'Put you somewhere you can't get hurt."" by Suzanne Collins. Tags: none"
"I've got a stele we can use. Who wants to do me?""""A regrettable choice of words,"" muttered Magnus.",Cassandra Clare,[],none,"Quote: ""I've got a stele we can use. Who wants to do me?""""A regrettable choice of words,"" muttered Magnus."" by Cassandra Clare. Tags: none"
"It kills me sometimes, how people die.",Markus Zusak,[],none,"Quote: ""It kills me sometimes, how people die."" by Markus Zusak. Tags: none"
"Blessed is he who expects nothing, for he shall never be disappointed.",Alexander Pope,[],none,"Quote: ""Blessed is he who expects nothing, for he shall never be disappointed."" by Alexander Pope. Tags: none"
There is nothing in the world so irresistibly contagious as laughter and good humor.,Charles Dickens,[],none,"Quote: ""There is nothing in the world so irresistibly contagious as laughter and good humor."" by Charles Dickens. Tags: none"
None but ourselves can free our minds.,Bob Marley,[],none,"Quote: ""None but ourselves can free our minds."" by Bob Marley. Tags: none"
"I did then what I knew how to do. Now that I know better, I do better.",Maya Angelou,[],none,"Quote: ""I did then what I knew how to do. Now that I know better, I do better."" by Maya Angelou. Tags: none"
Unbeing dead isn't being alive.,E. E. Cummings,[],none,"Quote: ""Unbeing dead isn't being alive."" by E. E. Cummings. Tags: none"
"Nobody likes being alone that much. I don't go out of my way to make friends, that's all. It just leads to disappointment.",Haruki Murakami,[],none,"Quote: ""Nobody likes being alone that much. I don't go out of my way to make friends, that's all. It just leads to disappointment."" by Haruki Murakami. Tags: none"
Never say goodbye because goodbye means going away and going away means forgetting.,J.M. Barrie,[],none,"Quote: ""Never say goodbye because goodbye means going away and going away means forgetting."" by J.M. Barrie. Tags: none"
"Friendship is the hardest thing in the world to explain. It's not something you learn in school. But if you haven't learned the meaning of friendship, you really haven't learned anything.",Muhammad Ali,[],none,"Quote: ""Friendship is the hardest thing in the world to explain. It's not something you learn in school. But if you haven't learned the meaning of friendship, you really haven't learned anything."" by Muhammad Ali. Tags: none"
Music was my refuge. I could crawl into the space between the notes and curl my back to loneliness.,Maya Angelou,[],none,"Quote: ""Music was my refuge. I could crawl into the space between the notes and curl my back to loneliness."" by Maya Angelou. Tags: none"
"Don't talk to me.""""Why not?""""Because I want to fix that in my memory for ever. Draco Malfoy, the amazing bouncing ferret...",J.K. Rowling,[],none,"Quote: ""Don't talk to me.""""Why not?""""Because I want to fix that in my memory for ever. Draco Malfoy, the amazing bouncing ferret..."" by J.K. Rowling. Tags: none"
Fear cuts deeper than swords.,George R.R. Martin,[],none,"Quote: ""Fear cuts deeper than swords."" by George R.R. Martin. Tags: none"
"Death must be so beautiful. To lie in the soft brown earth, with the grasses waving above one's head, and listen to silence. To have no yesterday, and no tomorrow. To forget time, to forgive life, to be at peace.",Oscar Wilde,[],none,"Quote: ""Death must be so beautiful. To lie in the soft brown earth, with the grasses waving above one's head, and listen to silence. To have no yesterday, and no tomorrow. To forget time, to forgive life, to be at peace."" by Oscar Wilde. Tags: none"
"Even if you cannot change all the people around you, you can change the people you choose to be around. Life is too short to waste your time on people who donâ€™t respect, appreciate, and value you. Spend your life with people who make you smile, laugh, and feel loved.",Roy T. Bennett,[],none,"Quote: ""Even if you cannot change all the people around you, you can change the people you choose to be around. Life is too short to waste your time on people who donâ€™t respect, appreciate, and value you. Spend your life with people who make you smile, laugh, and feel loved."" by Roy T. Bennett. Tags: none"
"Why, sometimes I've believed as many as six impossible things before breakfast.",Lewis Carroll,[],none,"Quote: ""Why, sometimes I've believed as many as six impossible things before breakfast."" by Lewis Carroll. Tags: none"
People haven't always been there for me but music always has.,Taylor Swift,[],none,"Quote: ""People haven't always been there for me but music always has."" by Taylor Swift. Tags: none"
"Life should not be a journey to the grave with the intention of arriving safely in a pretty and well preserved body, but rather to skid in broadside in a cloud of smoke, thoroughly used up, totally worn out, and loudly proclaiming ""Wow! What a Ride!",Hunter S. Thompson,[],none,"Quote: ""Life should not be a journey to the grave with the intention of arriving safely in a pretty and well preserved body, but rather to skid in broadside in a cloud of smoke, thoroughly used up, totally worn out, and loudly proclaiming ""Wow! What a Ride!"" by Hunter S. Thompson. Tags: none"
"Many boys will bring you flowers. But someday you'll meet a boy who will learn your favorite flower, your favorite song, your favorite sweet. And even if he is too poor to give you any of them, it won't matter because he will have taken the time to know you as no one else does. Only that boy earns your heart.",Leigh Bardugo,[],none,"Quote: ""Many boys will bring you flowers. But someday you'll meet a boy who will learn your favorite flower, your favorite song, your favorite sweet. And even if he is too poor to give you any of them, it won't matter because he will have taken the time to know you as no one else does. Only that boy earns your heart."" by Leigh Bardugo. Tags: none"
"You cannot control the behavior of others, but you can always choose how you respond to it.",Roy T. Bennett,[],none,"Quote: ""You cannot control the behavior of others, but you can always choose how you respond to it."" by Roy T. Bennett. Tags: none"
War is what happens when language fails.,Margaret Atwood,[],none,"Quote: ""War is what happens when language fails."" by Margaret Atwood. Tags: none"
I will not say: do not weep; for not all tears are an evil.,J.R.R. Tolkien,[],none,"Quote: ""I will not say: do not weep; for not all tears are an evil."" by J.R.R. Tolkien. Tags: none"
Let no man pull you so low as to hate him.,Martin Luther King Jr.,[],none,"Quote: ""Let no man pull you so low as to hate him."" by Martin Luther King Jr.. Tags: none"
"You know, Minister, I disagree with Dumbledore on many counts...but you cannot deny he's got style...",J.K. Rowling,[],none,"Quote: ""You know, Minister, I disagree with Dumbledore on many counts...but you cannot deny he's got style..."" by J.K. Rowling. Tags: none"
To go wrong in one's own way is better than to go right in someone else's.,Fyodor Dostoevsky,[],none,"Quote: ""To go wrong in one's own way is better than to go right in someone else's."" by Fyodor Dostoevsky. Tags: none"
"It is good to love many things, for therein lies the true strength, and whosoever loves much performs much, and can accomplish much, and what is done in love is well done.",Vincent Van Gogh,[],none,"Quote: ""It is good to love many things, for therein lies the true strength, and whosoever loves much performs much, and can accomplish much, and what is done in love is well done."" by Vincent Van Gogh. Tags: none"
The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.,Albert Einstein,[],none,"Quote: ""The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking."" by Albert Einstein. Tags: none"
"He must have known I'd want to leave you.""""No, he must have known you would always want to come back.",J.K. Rowling,[],none,"Quote: ""He must have known I'd want to leave you.""""No, he must have known you would always want to come back."" by J.K. Rowling. Tags: none"
"You can spend minutes, hours, days, weeks, or even months over-analyzing a situation; trying to put the pieces together, justifying what could've, would've happened... or you can just leave the pieces on the floor and move the fuck on.",Tupac Shakur,[],none,"Quote: ""You can spend minutes, hours, days, weeks, or even months over-analyzing a situation; trying to put the pieces together, justifying what could've, would've happened... or you can just leave the pieces on the floor and move the fuck on."" by Tupac Shakur. Tags: none"
"Let us step into the night and pursue that flighty temptress, adventure.",J.K. Rowling,[],none,"Quote: ""Let us step into the night and pursue that flighty temptress, adventure."" by J.K. Rowling. Tags: none"
Let us be grateful to the people who make us happy; they are the charming gardeners who make our souls blossom.,Marcel Proust,[],none,"Quote: ""Let us be grateful to the people who make us happy; they are the charming gardeners who make our souls blossom."" by Marcel Proust. Tags: none"
All grown-ups were once children... but only few of them remember it.,Antoine de Saint-ExupÃ©ry,[],none,"Quote: ""All grown-ups were once children... but only few of them remember it."" by Antoine de Saint-ExupÃ©ry. Tags: none"
"One of the Silent Brothers is here to see you. Hodge sent me to wake you up. Actually he offered to wake you himself, but since it's 5 a.m., I figured you'd be less cranky if you had something nice to look at.""""Meaning you?""""What else?",Cassandra Clare,[],none,"Quote: ""One of the Silent Brothers is here to see you. Hodge sent me to wake you up. Actually he offered to wake you himself, but since it's 5 a.m., I figured you'd be less cranky if you had something nice to look at.""""Meaning you?""""What else?"" by Cassandra Clare. Tags: none"
"It's all right to love someone who doesn't love you back, as long as they're worth you loving them. As long as they deserve it.",Cassandra Clare,[],none,"Quote: ""It's all right to love someone who doesn't love you back, as long as they're worth you loving them. As long as they deserve it."" by Cassandra Clare. Tags: none"
God has no religion.,Mahatma Gandhi,[],none,"Quote: ""God has no religion."" by Mahatma Gandhi. Tags: none"
I don't want to repeat my innocence. I want the pleasure of losing it again.,F. Scott Fitzgerald,[],none,"Quote: ""I don't want to repeat my innocence. I want the pleasure of losing it again."" by F. Scott Fitzgerald. Tags: none"
"Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.",James A. Baldwin,[],none,"Quote: ""Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up."" by James A. Baldwin. Tags: none"
"You guessed? You must have been pretty sure, considering you could have killed me.""""I was ninety percent sure.""""I see,"" Clary said. There must have been something in her voice, because he turned to look at her. Her hand cracked across his face, a slap that rocked him back on his heels. He put his hands on his cheek, more in surprise than pain.""What the hell was that for?""""The other ten percent.",Cassandra Clare,[],none,"Quote: ""You guessed? You must have been pretty sure, considering you could have killed me.""""I was ninety percent sure.""""I see,"" Clary said. There must have been something in her voice, because he turned to look at her. Her hand cracked across his face, a slap that rocked him back on his heels. He put his hands on his cheek, more in surprise than pain.""What the hell was that for?""""The other ten percent."" by Cassandra Clare. Tags: none"
"The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.",Steve Maraboli,[],none,"Quote: ""The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward."" by Steve Maraboli. Tags: none"
Trust yourself. You know more than you think you do.,Benjamin Spock,[],none,"Quote: ""Trust yourself. You know more than you think you do."" by Benjamin Spock. Tags: none"
It is amazing how complete is the delusion that beauty is goodness.,Leo Tolstoy,[],none,"Quote: ""It is amazing how complete is the delusion that beauty is goodness."" by Leo Tolstoy. Tags: none"
"Do what is right, not what is easy nor what is popular.",Roy T. Bennett,[],none,"Quote: ""Do what is right, not what is easy nor what is popular."" by Roy T. Bennett. Tags: none"
"Each friend represents a world in us, a world possibly not born until they arrive, and it is only by this meeting that a new world is born.",Anais Nin,[],none,"Quote: ""Each friend represents a world in us, a world possibly not born until they arrive, and it is only by this meeting that a new world is born."" by Anais Nin. Tags: none"
"Without deviation from the norm, progress is not possible.",Frank Zappa,[],none,"Quote: ""Without deviation from the norm, progress is not possible."" by Frank Zappa. Tags: none"
"Clouds come floating into my life, no longer to carry rain or usher storm, but to add color to my sunset sky.",Rabindranath Tagore,[],none,"Quote: ""Clouds come floating into my life, no longer to carry rain or usher storm, but to add color to my sunset sky."" by Rabindranath Tagore. Tags: none"
"Books are the plane, and the train, and the road. They are the destination, and the journey. They are home.",Anna Quindlen,[],none,"Quote: ""Books are the plane, and the train, and the road. They are the destination, and the journey. They are home."" by Anna Quindlen. Tags: none"
"Sometimes our light goes out, but is blown again into instant flame by an encounter with another human being.",Albert Schweitzer,[],none,"Quote: ""Sometimes our light goes out, but is blown again into instant flame by an encounter with another human being."" by Albert Schweitzer. Tags: none"
Life has no meaning. Each of us has meaning and we bring it to life. It is a waste to be asking the question when you are the answer.,Joseph Campbell,[],none,"Quote: ""Life has no meaning. Each of us has meaning and we bring it to life. It is a waste to be asking the question when you are the answer."" by Joseph Campbell. Tags: none"
Fear of a name increases fear of the thing itself.,J.K. rowling,[],none,"Quote: ""Fear of a name increases fear of the thing itself."" by J.K. rowling. Tags: none"
How many slams in an old screen door? Depends how loud you shut it. How many slices in a bread? Depends how thin you cut it. How much good inside a day? Depends how good you live 'em. How much love inside a friend? Depends how much you give 'em.,Shel Silverstein,[],none,"Quote: ""How many slams in an old screen door? Depends how loud you shut it. How many slices in a bread? Depends how thin you cut it. How much good inside a day? Depends how good you live 'em. How much love inside a friend? Depends how much you give 'em."" by Shel Silverstein. Tags: none"
It is better to fail in originality than to succeed in imitation.,Herman Melville,[],none,"Quote: ""It is better to fail in originality than to succeed in imitation."" by Herman Melville. Tags: none"
"When life gives you lemons, squirt someone in the eye.",Cathy Guiswite,[],none,"Quote: ""When life gives you lemons, squirt someone in the eye."" by Cathy Guiswite. Tags: none"
"That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.",Charles Bukowski,[],none,"Quote: ""That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen."" by Charles Bukowski. Tags: none"
"If you want to be happy, do not dwell in the past, do not worry about the future, focus on living fully in the present.",Roy T. Bennett,[],none,"Quote: ""If you want to be happy, do not dwell in the past, do not worry about the future, focus on living fully in the present."" by Roy T. Bennett. Tags: none"
When love is not madness it is not love.,Pedro Calderon de la Barca,[],none,"Quote: ""When love is not madness it is not love."" by Pedro Calderon de la Barca. Tags: none"
"I think... if it is true that there are as many minds as there are heads, then there are as many kinds of love as there are hearts.",Leo Tolstoy,[],none,"Quote: ""I think... if it is true that there are as many minds as there are heads, then there are as many kinds of love as there are hearts."" by Leo Tolstoy. Tags: none"
"Iâ€™m here. I love you. I donâ€™t care if you need to stay up crying all night long, I will stay with you. If you need the medication again, go ahead and take itâ€”I will love you through that, as well. If you donâ€™t need the medication, I will love you, too. Thereâ€™s nothing you can ever do to lose my love. I will protect you until you die, and after your death I will still protect you. I am stronger than Depression and I am braver than Loneliness and nothing will ever exhaust me.",Elizabeth Gilbert,[],none,"Quote: ""Iâ€™m here. I love you. I donâ€™t care if you need to stay up crying all night long, I will stay with you. If you need the medication again, go ahead and take itâ€”I will love you through that, as well. If you donâ€™t need the medication, I will love you, too. Thereâ€™s nothing you can ever do to lose my love. I will protect you until you die, and after your death I will still protect you. I am stronger than Depression and I am braver than Loneliness and nothing will ever exhaust me."" by Elizabeth Gilbert. Tags: none"
"Once you can accept the universe as matter expanding into nothing that is something, wearing stripes with plaid comes easy.",Einstein,[],none,"Quote: ""Once you can accept the universe as matter expanding into nothing that is something, wearing stripes with plaid comes easy."" by Einstein. Tags: none"
"Why are they all staring?"" demanded Albus as he and Rose craned around to look at the other students.""Donâ€™t let it worry you,"" said Ron. ""Itâ€™s me. Iâ€™m extremely famous.",J.K. Rowling,[],none,"Quote: ""Why are they all staring?"" demanded Albus as he and Rose craned around to look at the other students.""Donâ€™t let it worry you,"" said Ron. ""Itâ€™s me. Iâ€™m extremely famous."" by J.K. Rowling. Tags: none"
"I cannot remember the books I've read any more than the meals I have eaten; even so, they have made me.",Ralph Waldo Emerson,[],none,"Quote: ""I cannot remember the books I've read any more than the meals I have eaten; even so, they have made me."" by Ralph Waldo Emerson. Tags: none"
"People say nothing is impossible, but I do nothing every day.",A.A. Milne,[],none,"Quote: ""People say nothing is impossible, but I do nothing every day."" by A.A. Milne. Tags: none"
I hate to hear you talk about all women as if they were fine ladies instead of rational creatures. None of us want to be in calm waters all our lives.,Jane Austen,[],none,"Quote: ""I hate to hear you talk about all women as if they were fine ladies instead of rational creatures. None of us want to be in calm waters all our lives."" by Jane Austen. Tags: none"
"It is more fun to talk with someone who doesn't use long, difficult words but rather short, easy words like ""What about lunch?",A. A. Milne,[],none,"Quote: ""It is more fun to talk with someone who doesn't use long, difficult words but rather short, easy words like ""What about lunch?"" by A. A. Milne. Tags: none"
It's like everyone tells a story about themselves inside their own head. Always. All the time. That story makes you what you are. We build ourselves out of that story.,Patrick Rothfuss,[],none,"Quote: ""It's like everyone tells a story about themselves inside their own head. Always. All the time. That story makes you what you are. We build ourselves out of that story."" by Patrick Rothfuss. Tags: none"
There are wounds that never show on the body that are deeper and more hurtful than anything that bleeds.,Laurell K. Hamilton,[],none,"Quote: ""There are wounds that never show on the body that are deeper and more hurtful than anything that bleeds."" by Laurell K. Hamilton. Tags: none"
"Vanity and pride are different things, though the words are often used synonymously. A person may be proud without being vain. Pride relates more to our opinion of ourselves, vanity to what we would have others think of us.",Jane Austen,[],none,"Quote: ""Vanity and pride are different things, though the words are often used synonymously. A person may be proud without being vain. Pride relates more to our opinion of ourselves, vanity to what we would have others think of us."" by Jane Austen. Tags: none"
A brave man acknowledges the strength of others.,Veronica Roth,[],none,"Quote: ""A brave man acknowledges the strength of others."" by Veronica Roth. Tags: none"
Women who seek to be equal with men lack ambition.,Timothy Leary,[],none,"Quote: ""Women who seek to be equal with men lack ambition."" by Timothy Leary. Tags: none"
Words can be like X-rays if you use them properly -- theyâ€™ll go through anything. You read and youâ€™re pierced.,Aldous Huxley,[],none,"Quote: ""Words can be like X-rays if you use them properly -- theyâ€™ll go through anything. You read and youâ€™re pierced."" by Aldous Huxley. Tags: none"
